questionId,tags,ownerId,isAnswered,viewCount,answerCount,acceptedAnswerId,downVoteCount,upVoteCount,lastActivityDate,creationDate,link,title
76369249,[java],21989328,false,19,0,,,,1685489907,1685489907,https://stackoverflow.com/questions/76369249/erro-java-em-initcomponents,Erro Java em InitComponents
76369221,"[java, postgresql, spring-boot, prepared-statement]",12867694,false,33,0,,,,1685490408,1685489415,https://stackoverflow.com/questions/76369221/passing-string-in-prepared-statement-and-data-type-of-postgres-is-timestamp-with,passing string in prepared statement and data type of postgres is Timestamp without time zone
76369209,"[java, authentication, postman, basic-authentication]",15280633,false,28,1,,,,1685497141,1685489190,https://stackoverflow.com/questions/76369209/is-there-a-logic-error-in-my-springboot-code,Is there a logic error in my Springboot code?
76369157,"[java, spring, swagger]",21989260,false,15,0,,,,1685488172,1685488172,https://stackoverflow.com/questions/76369157/why-am-i-getting-a-typeerror-when-attempting-to-fetch-a-resource-using-swagger-d,Why am I getting a TypeError when attempting to fetch a resource using Swagger documentation with my Spring API deployed on Railway?
76369022,"[java, database, couchbase, couchbase-java-api]",1716558,true,18,1,76374037,,,1685539694,1685485790,https://stackoverflow.com/questions/76369022/update-xattr-in-meta-in-couchbase-sdk-3-4-0-with-java,update xattr in meta in couchbase sdk 3.4.0 with java
76368955,"[java, spring-boot, rabbitmq]",8420784,false,32,1,,,,1685563075,1685484475,https://stackoverflow.com/questions/76368955/rabbitmq-consumer-cant-convert-message-from-queue-failed-to-convert-message,RabbitMQ consumer can&#39;t convert message from queue : Failed to convert message
76368945,"[java, gson]",21906550,true,36,2,76370457,,,1685616858,1685484261,https://stackoverflow.com/questions/76368945/how-to-convert-json-to-java-class-using-gsons-fromjson-method,How to convert JSON to Java class using Gson&#39;s fromJson method?
76368918,"[java, sorting, arraylist, insertion-sort]",15648533,false,43,0,,,,1685484490,1685483970,https://stackoverflow.com/questions/76368918/how-do-i-implement-insertion-sort-with-an-arraylist-in-java,How do I implement Insertion Sort with an ArrayList in Java?
76368908,"[java, user-interface, javafx, model-view-controller, fxml]",17422842,false,26,0,,,,1685565146,1685483727,https://stackoverflow.com/questions/76368908/how-to-change-scenes-in-javafx-based-on-received-network-messages,How to change scenes in JavaFX based on received network messages?
76368877,"[java, spring, spring-boot, spring-data-jpa, spring-data]",14420635,false,34,0,,,,1685531497,1685483286,https://stackoverflow.com/questions/76368877/spring-data-jpa-exception-no-property-found-for-type-with-inheritance-betw,&quot;Spring Data JPA - Exception: &#39;No Property Found for Type&#39; with Inheritance Between Repository Interfaces&quot;
